Entity,Code,Year,Cumulative deaths in intrastate conflicts,Cumulative deaths from one-sided violence,Cumulative deaths in non-state conflicts,Cumulative deaths in interstate conflicts
Libya,LBY,2024,8848,300,4756,0
Liechtenstein,LIE,2024,0,0,0,0
Lithuania,LTU,2024,0,15,0,0
Luxembourg,LUX,2024,0,0,0,0
Madagascar,MDG,2024,0,31,161,0
Malawi,MWI,2024,0,0,0,0
Malaysia,MYS,2024,72,0,0,0
Maldives,MDV,2024,0,4,0,0
Mali,MLI,2024,8872,5297,3002,0
Malta,MLT,2024,0,0,0,0
Marshall Islands,MHL,2024,0,0,0,0
Mauritania,MRT,2024,30,51,102,0
Mauritius,MUS,2024,0,0,0,0
Mexico,MEX,2024,184,803,139171,0
Middle East,,2024,580111,42661,62501,32532
Moldova,MDA,2024,585,0,0,0
Monaco,MCO,2024,0,0,0,0
Mongolia,MNG,2024,0,0,0,0
Montenegro,MNE,2024,11,0,0,0
Morocco,MAR,2024,0,51,0,0
Mozambique,MOZ,2024,7341,4194,188,0
Myanmar,MMR,2024,19851,8546,2220,0
Namibia,NAM,2024,417,6,0,0
Nauru,NRU,2024,0,0,0,0
Nepal,NPL,2024,9915,2368,30,0
Netherlands,NLD,2024,2,0,0,0
New Zealand,NZL,2024,0,0,0,0
Nicaragua,NIC,2024,565,0,0,0
Niger,NER,2024,4406,2342,246,0
Nigeria,NGA,2024,27754,18051,26076,0
North Korea,PRK,2024,0,0,0,0
North Macedonia,MKD,2024,75,6,0,0
Norway,NOR,2024,0,0,0,0
Oman,OMN,2024,0,0,0,0
Pakistan,PAK,2024,37220,4350,3887,1037
Palau,PLW,2024,0,0,0,0
Palestine,PSE,2024,54274,303,299,1
Panama,PAN,2024,77,1,0,843
Papua New Guinea,PNG,2024,255,81,494,0
Paraguay,PRY,2024,150,0,1,0
Peru,PER,2024,6637,677,50,88
Philippines,PHL,2024,19591,898,173,1
Poland,POL,2024,0,0,0,2
Portugal,PRT,2024,0,0,0,0
Qatar,QAT,2024,0,0,0,0
Romania,ROU,2024,249,199,0,0
Russia,RUS,2024,21796,2835,244,7752
Rwanda,RWA,2024,7887,786020,92,0
Saint Kitts and Nevis,KNA,2024,0,0,0,0
Saint Lucia,LCA,2024,0,0,0,0
Saint Vincent and the Grenadines,VCT,2024,0,0,0,0
Samoa,WSM,2024,0,0,0,0
San Marino,SMR,2024,0,0,0,0
Sao Tome and Principe,STP,2024,0,0,0,0
Saudi Arabia,SAU,2024,399,96,0,96
Senegal,SEN,2024,1371,314,243,0
Serbia,SRB,2024,891,2,0,0
Seychelles,SYC,2024,0,0,0,0
Sierra Leone,SLE,2024,11470,8804,53,0
Singapore,SGP,2024,0,0,0,0
Slovakia,SVK,2024,0,0,0,0
Slovenia,SVN,2024,64,0,0,0
Solomon Islands,SLB,2024,2,0,0,0
Somalia,SOM,2024,49649,2569,11690,0
South Africa,ZAF,2024,0,629,4340,0
South Korea,KOR,2024,0,0,0,0
South Sudan,SSD,2024,34437,9878,18012,129
Spain,ESP,2024,45,207,2,0
Sri Lanka,LKA,2024,61204,3616,567,0
Sudan,SDN,2024,32576,19434,11776,238
Suriname,SUR,2024,0,0,0,0
Sweden,SWE,2024,0,5,0,0
Switzerland,CHE,2024,0,0,0,0
Syria,SYR,2024,341932,16948,52479,1439
Taiwan,TWN,2024,0,0,0,0
Tajikistan,TJK,2024,8856,100,408,112
Tanzania,TZA,2024,29,62,0,0
Thailand,THA,2024,2255,1897,11,19
Togo,TGO,2024,109,613,31,0
Tonga,TON,2024,0,0,0,0
Trinidad and Tobago,TTO,2024,39,0,0,0
Tunisia,TUN,2024,209,80,0,0
Turkey,TUR,2024,29884,1622,179,0
Turkmenistan,TKM,2024,0,0,0,0
Tuvalu,TUV,2024,0,0,0,0
Uganda,UGA,2024,10013,5016,1725,0
Ukraine,UKR,2024,8929,1460,45,234614
United Arab Emirates,ARE,2024,3,0,0,0
United Kingdom,GBR,2024,132,86,0,0
United States,USA,2024,233,2775,7,0
Uruguay,URY,2024,0,0,0,0
Uzbekistan,UZB,2024,395,0,97,0
Vanuatu,VUT,2024,0,0,0,0
Venezuela,VEN,2024,162,1067,191,0
Vietnam,VNM,2024,0,0,0,0
Western Sahara,ESH,2024,207,0,0,0
World,OWID_WRL,2024,1985756,1183039,381809,379269
Yemen,YEM,2024,62985,272,4135,118
Yemen People's Republic,OWID_YPR,2024,0,0,0,0
Yugoslavia,OWID_YGS,2024,0,0,0,0
Zambia,ZMB,2024,0,164,0,0
Zimbabwe,ZWE,2024,0,304,0,0
